trial,treatment,date,species,cycle,sin_cycle,cos_cycle,seeds_maze,seeds_control,trial_length,f_control_with_op,f_maze_with_op,second_tray,antipredator,competition,dig,f_control,f_maze,open,shelter,first.vs.second.time,first.vs.second.seeds,combined.seeds
1,control,13/03/2025,gerbillus andersoni,5,-0.707106781,-0.707106781,0,0,60,1.327766667,0.410516667,0.22,7.24,0,8.84,1.33,0.41,2.27,18.22,-0.92,0,0
2,control,04/04/2025,gerbillus andersoni,2,1,6.12E-17,0.63,0.24,60,3.2444,8.20855,59.4,0.58,0,0,3.24,8.21,0.91,52.6,4.97,0.39,0.87
5,control,10/04/2025,gerbillus floweri,4,1.22E-16,-1,2.1,0,60,4.934333333,20.8182,1.6,1.17,0.14,0,4.93,20.82,2.8,23.64,15.89,2.1,2.1
6,control,24/04/2025,gerbillus floweri,8,-2.45E-16,1,2.53,1.75,60,12.84495,18.7613,1.59,5.78,0,0,12.84,18.76,6.23,26.55,5.92,0.78,4.28
7,control,24/04/2025,gerbillus andersoni,8,-2.45E-16,1,1.38,3.92,60,16.29841667,5.547666667,2.22,1.64,0,0,16.3,5.55,4.15,22.05,-10.75,-2.54,5.3
8,control,29/04/2025,gerbillus floweri,2,1,6.12E-17,2.73,2.55,60,10.92971667,14.25268333,1.18,2.72,1.82,0,10.93,14.13,4.23,25.75,3.2,0.18,5.28
9,control,08/05/2025,gerbillus andersoni,4,1.22E-16,-1,3.42,0.11,60,9.9602,15.82281667,6.65,1.23,0,0,9.96,15.82,1.86,22.27,5.86,3.31,3.53
10,control,15/05/2025,gerbillus floweri,6,-1,-1.84E-16,4.38,3.04,60,19.67865,15.52916667,3.97,3.81,9.25,0.19,17.66,12.06,3.44,10.04,-5.6,1.34,7.42
11,control,15/05/2025,gerbillus andersoni,6,-1,-1.84E-16,2.95,2.04,60,8.96705,8.2512,2.5,7.92,5.24,4.23,5.9,6.86,3.15,20.83,0.96,0.91,4.99
12,control,22/05/2025,gerbillus floweri,8,-2.45E-16,1,3.04,0.74,60,5.231333333,24.5326,10.72,3.69,4.18,0,4.77,13.33,5.15,28.45,8.56,2.3,3.78
13,control,22/05/2025,gerbillus andersoni,8,-2.45E-16,1,3.75,2.52,60,8.737783333,17.06663333,28.48,1.78,0,0,8.74,17.07,1.99,24.41,8.33,1.23,6.27
