trial,species,sin_cycle,cos_cycle,cycle,level,solving_duration,eat_at_first_trip
1,gerbillus andersoni,1.22E-16,-1,4,1,1.6,0
1,gerbillus andersoni,1.22E-16,-1,4,2,11.46666667,0
1,gerbillus andersoni,1.22E-16,-1,4,3,0.733333333,1
2,gerbillus andersoni,-0.707106781,-0.707106781,5,1,22.16666667,1
2,gerbillus andersoni,-0.707106781,-0.707106781,5,2,24.9,1
2,gerbillus andersoni,-0.707106781,-0.707106781,5,3,5.75,1
3,gerbillus floweri,-0.707106781,-0.707106781,5,1,41.11666667,1
3,gerbillus floweri,-0.707106781,-0.707106781,5,2,48.81666667,1
3,gerbillus floweri,-0.707106781,-0.707106781,5,3,12.28333333,0
4,gerbillus floweri,-2.45E-16,1,8,1,2.366666667,1
4,gerbillus floweri,-2.45E-16,1,8,2,14.8,1
4,gerbillus floweri,-2.45E-16,1,8,3,0.716666667,1
5,gerbillus floweri,-2.45E-16,1,8,1,6.366666667,1
5,gerbillus floweri,-2.45E-16,1,8,2,2.65,1
5,gerbillus floweri,-2.45E-16,1,8,3,0.85,0
6,gerbillus andersoni,-2.45E-16,1,8,1,2.75,1
6,gerbillus andersoni,-2.45E-16,1,8,2,3.033333333,1
6,gerbillus andersoni,-2.45E-16,1,8,3,2.083333333,1
7,gerbillus andersoni,-2.45E-16,1,8,1,42.66666667,1
7,gerbillus andersoni,-2.45E-16,1,8,2,1.333333333,0
7,gerbillus andersoni,-2.45E-16,1,8,3,60,NA
8,gerbillus andersoni,0.707106781,0.707106781,1,1,2.616666667,0
8,gerbillus andersoni,0.707106781,0.707106781,1,2,13.36666667,1
8,gerbillus andersoni,0.707106781,0.707106781,1,3,15.48333333,1
9,gerbillus floweri,-2.45E-16,1,8,1,1.833333333,1
9,gerbillus floweri,-2.45E-16,1,8,2,10.18333333,1
9,gerbillus floweri,-2.45E-16,1,8,3,60,0
10,gerbillus andersoni,0.707106781,0.707106781,1,1,5.6,1
10,gerbillus andersoni,0.707106781,0.707106781,1,2,3.816666667,0
10,gerbillus andersoni,0.707106781,0.707106781,1,3,32.18333333,1
11,gerbillus floweri,0.707106781,0.707106781,1,1,16.8,0
11,gerbillus floweri,0.707106781,0.707106781,1,2,16.03333333,0
11,gerbillus floweri,0.707106781,0.707106781,1,3,60,0
12,gerbillus andersoni,1,6.12E-17,2,1,2.233333333,1
12,gerbillus andersoni,1,6.12E-17,2,2,60,0
12,gerbillus andersoni,1,6.12E-17,2,3,,NA
13,gerbillus floweri,1,6.12E-17,2,1,7.016666667,0
13,gerbillus floweri,1,6.12E-17,2,2,12.03333333,0
13,gerbillus floweri,1,6.12E-17,2,3,60,NA
14,gerbillus andersoni,1.22E-16,-1,4,1,8.033333333,1
14,gerbillus andersoni,1.22E-16,-1,4,2,60,0
14,gerbillus andersoni,1.22E-16,-1,4,3,,NA
17,gerbillus floweri,1.22E-16,-1,4,1,3.65,1
17,gerbillus floweri,1.22E-16,-1,4,2,60,0
17,gerbillus floweri,1.22E-16,-1,4,3,,NA
18,gerbillus floweri,0.707106781,0.707106781,1,1,2.283333333,1
18,gerbillus floweri,0.707106781,0.707106781,1,2,19.33333333,0
18,gerbillus floweri,0.707106781,0.707106781,1,3,2.066666667,1
19,gerbillus andersoni,1,6.12E-17,2,1,2.966666667,1
19,gerbillus andersoni,1,6.12E-17,2,2,12.05,1
19,gerbillus andersoni,1,6.12E-17,2,3,60,0
20,gerbillus floweri,1,6.12E-17,2,1,1.666666667,1
20,gerbillus floweri,1,6.12E-17,2,2,30.16666667,0
20,gerbillus floweri,1,6.12E-17,2,3,60,0
21,gerbillus floweri,-0.707106781,-0.707106781,5,1,1.583333333,1
21,gerbillus floweri,-0.707106781,-0.707106781,5,2,26.26666667,0
21,gerbillus floweri,-0.707106781,-0.707106781,5,3,60,0
22,gerbillus andersoni,1,6.12E-17,2,1,0.916666667,1
22,gerbillus andersoni,1,6.12E-17,2,2,60,0
22,gerbillus andersoni,1,6.12E-17,2,3,,NA
23,gerbillus andersoni,1,6.12E-17,2,1,17.11666667,0
23,gerbillus andersoni,1,6.12E-17,2,2,0.633333333,1
23,gerbillus andersoni,1,6.12E-17,2,3,60,0
24,gerbillus floweri,1.22E-16,-1,4,1,0.983333333,1
24,gerbillus floweri,1.22E-16,-1,4,2,2.833333333,1
24,gerbillus floweri,1.22E-16,-1,4,3,60,0
25,gerbillus andersoni,-1,-1.84E-16,6,1,7.433333333,1
25,gerbillus andersoni,-1,-1.84E-16,6,2,6.6,1
25,gerbillus andersoni,-1,-1.84E-16,6,3,0.483333333,1
26,gerbillus floweri,-2.45E-16,1,8,1,2.2,1
26,gerbillus floweri,-2.45E-16,1,8,2,1.933333333,0
26,gerbillus floweri,-2.45E-16,1,8,3,60,0
27,gerbillus andersoni,-2.45E-16,1,8,1,4.066666667,1
27,gerbillus andersoni,-2.45E-16,1,8,2,5.333333333,0
27,gerbillus andersoni,-2.45E-16,1,8,3,9.966666667,0
28,gerbillus floweri,1,6.12E-17,2,1,1.016666667,0
28,gerbillus floweri,1,6.12E-17,2,2,2.733333333,0
28,gerbillus floweri,1,6.12E-17,2,3,38.95,0
29,gerbillus floweri,1.22E-16,-1,4,1,14.35,0
29,gerbillus floweri,1.22E-16,-1,4,2,8.016666667,0
29,gerbillus floweri,1.22E-16,-1,4,3,60,0
30,gerbillus andersoni,-1,-1.84E-16,6,1,3.716666667,1
30,gerbillus andersoni,-1,-1.84E-16,6,2,1.516666667,0
30,gerbillus andersoni,-1,-1.84E-16,6,3,13.41666667,0
