trial,date,species,seeds_maze,seeds_control,stage,level.1,level.2,level.3,level.4,cycle,sin_cycle,cos_cycle,explore_score,f_control_with_op,f_maze_with_op,second_tray,trial_length,f_control,f_maze,antipredator,competition,dig,open,shelter,combined.seeds
1,28/08/2023,gerbillus andersoni,0.3,1.94,3,1.27,4.05,42.46,44.61,4,1.22E-16,-1,3,5.217583333,2.727083333,7.75615,60,5.217583333,2.727083333,4.709966667,0,0,25.52803333,12.3237,2.24
2,30/08/2023,gerbillus andersoni,1.44,0.27,2,3.67,31.98,NA,NA,5,-0.707106781,-0.707106781,5,0,6.550433333,60,114,0,6.550433333,4.700016667,0,0,15.03958333,16.46428333,1.71
3,31/08/2023,gerbillus floweri,0.42,4.5,1,5.99,48.09,NA,NA,5,-0.707106781,-0.707106781,5,13.23053333,5.928766667,56.08783333,92,13.23053333,5.928766667,0.682616667,0,0,7.66265,0,4.92
4,10/09/2023,gerbillus floweri,1.18,7.79,2,1.69,5,20.94,23.04,8,-2.45E-16,1,2,52.19583333,2.574266667,2.58445,105,52.19583333,2.574266667,1.354533333,0,0,9.665033333,8.777716666,8.97
5,12/09/2023,gerbillus floweri,2.69,8.03,2,5.45,15.7,28.76,NA,8,-2.45E-16,1,3,35.25378333,4.682066667,20.70795,105,35.25378333,4.682066667,2.666066667,0,0,12.98831667,9.032666667,10.72
6,12/09/2023,gerbillus andersoni,1.94,7.62,3,4.72,9.11,15.77,21.18,8,-2.45E-16,1,5,19.5269,3.50875,31.41618333,103,19.5269,3.50875,1.134816667,0,0,12.36135,15.59608333,9.56
7,13/09/2023,gerbillus andersoni,0.84,7.07,2,4.41,49.02,52.91,NA,8,-2.45E-16,1,2,31.18101667,3.43095,10.31018333,96,31.18101667,3.43095,0.407166667,0.675016667,0.968866667,17.48696667,5.697483334,7.91
8,14/09/2023,gerbillus andersoni,2.07,8.46,1,8.41,48.5,NA,NA,1,0.707106781,0.707106781,1,46.3566,6.014866667,2.137816667,117,46.3566,6.014866667,1.72095,0,22.50958333,8.085233333,4.856183333,10.53
9,06/05/2024,gerbillus floweri,1.61,8.46,2,7.24,10.62,27.02,NA,8,-2.45E-16,1,1,29.95095,3.054283333,1.4741,71,29.95095,3.054283333,1.536483333,0.0061,0.5272,12.0511,10.19276667,10.07
10,07/05/2024,gerbillus andersoni,1.77,6.89,3,9.98,20.21,27.65,NA,1,0.707106781,0.707106781,1,16.61333333,3.216666667,0.925333333,69,13.33333333,3.216666667,1.15385,1.941566667,0,8.228683333,11.64183333,8.66
11,08/05/2024,gerbillus floweri,1.68,3.68,2,19.73,40,NA,NA,1,0.707106781,0.707106781,1,11.41666667,6.75,1.709633333,81,11.41666667,6.75,0.462666667,0.293883333,0,10.90141666,2.876566666,5.36
12,09/05/2024,gerbillus andersoni,0.31,5.44,1,10.63,15.11,NA,NA,2,1,6.12E-17,1,20.35,1.65,6.407783333,82,20.35,1.65,1.141866667,1.586033333,0.94885,14.11011667,4.4336,5.75
